% storage [m3]  surface [km2]
   3.6388700e+06   1.2598000e-01
   4.1122600e+06   1.4395800e-01
   4.9413000e+06   1.6086200e-01
   6.2406000e+06   1.7608500e-01
   7.4010500e+06   1.9272800e-01
   8.4252200e+06   2.0656300e-01
   9.9006000e+06   2.3735000e-01
   1.1106800e+07   2.4292000e-01
   1.1824300e+07   2.5945400e-01
   1.2592800e+07   2.7164100e-01
