Year,Month,Day,AverageDailyPrecipitation[mm/d],AverageDailyStreamflow[m^3/s],AverageDailyTemperature[°C]
1991,2,1,6.80216,56.4930800659491,5.6132
1991,2,2,2.89395,70.437953669213,3.46412
1991,2,3,0.0380462,99.7801363673611,5.85134
1991,2,4,0,130.295572543982,6.66721
1991,2,5,0.0802293,137.763181008102,6.72398
1991,2,6,4.70058,130.725574090741,7.95842
1991,2,7,2.1045,127.390191173148,6.91752
1991,2,8,0.0500457,128.03774543125,6.176
1991,2,9,0.957576,129.452795031713,7.60554
1991,2,10,0.419111,130.442946961343,6.23495
1991,2,11,0.936409,124.740641583102,4.06871
1991,2,12,5.54232,130.458896573611,2.00318
1991,2,13,0,141.291873226389,3.63403
1991,2,14,0,160.920104068519,3.38653
1991,2,15,0.972711,191.818968924074,3.29624
1991,2,16,5.52213,204.991434704398,4.22493
1991,2,17,6.44613,238.287845276157,4.07838
1991,2,18,9.33345,246.61035295787,5.80484
1991,2,19,2.12835,233.425765472222,7.5871
1991,2,20,0,228.753167062037,8.71268
1991,2,21,0.47945,231.076068592824,7.95
1991,2,22,0,227.667955443287,8.86876
1991,2,23,0,217.865961727546,9.44268
1991,2,24,0.00626575,208.34340521875,10.6807
1991,2,25,0.395646,198.18924406412,10.4003
1991,2,26,0,188.715812361111,10.0361
1991,2,27,1.90927,178.693076011574,8.95698
1991,2,28,12.7969,181.305622501157,8.38933
1991,3,1,0.795732,181.258411648843,9.05534
1991,3,2,0,212.812486576389,8.88972
1991,3,3,0,233.664371671759,12.1263
1991,3,4,2.31007,231.674498045139,11.8059
1991,3,5,13.2685,278.249917807176,10.9052
1991,3,6,13.2543,333.570828968287,9.35911
1991,3,7,5.2913,396.659839288657,8.52943
1991,3,8,6.23393,490.888872602083,8.75293
1991,3,9,4.64266,731.666133361111,10.2583
1991,3,10,0.189481,918.844403099537,12.7259
1991,3,11,0.256897,1007.28819305093,11.8679
1991,3,12,9.90732,1006.70124731944,11.0629
1991,3,13,3.43981,931.285100668981,9.46274
1991,3,14,0,841.622760340278,12.1208
1991,3,15,0.201101,787.713070872685,12.3019
1991,3,16,2.28103,730.409303914352,11.7925
1991,3,17,0.390608,664.282211449074,10.3248
1991,3,18,0,605.826244500463,11.4541
1991,3,19,0,561.095237901157,14.3818
1991,3,20,0,525.650733549074,16.1636
1991,3,21,0.316276,494.669568694213,12.3913
1991,3,22,1.15448,464.69450538125,8.42939
1991,3,23,0.150876,435.765736633102,7.80307
1991,3,24,0.311124,413.540270929167,6.42655
1991,3,25,0.401898,395.949762550463,8.61882
1991,3,26,0.607026,377.647263480093,9.66361
1991,3,27,0,355.558326457176,11.2167
1991,3,28,0,329.664449931481,12.324
1991,3,29,0,305.708770288657,12.58
1991,3,30,0,285.6345882875,11.9017
1991,3,31,0,272.892762038426,11.7019
1991,4,1,0.00376484,269.584174469444,11.158
1991,4,2,0.0800428,257.438225734722,11.8001
1991,4,3,0.956362,241.852902610417,10.4946
1991,4,4,2.76706,233.806642213194,8.40286
1991,4,5,0.00522786,232.727172454861,9.06494
1991,4,6,0,221.375514411111,10.1201
1991,4,7,0,209.824167221759,13.2347
1991,4,8,0,198.022092127546,15.1259
1991,4,9,0,182.967572099537,15.4918
1991,4,10,0,168.556140438194,15.8801
1991,4,11,0,153.442287852546,16.5042
1991,4,12,0.333282,137.143060083102,15.5606
1991,4,13,0.534463,123.06784624838,9.80745
1991,4,14,5.59808,112.162777348148,10.7195
1991,4,15,5.27615,105.20555647662,10.3867
1991,4,16,2.35912,99.3654464483796,10.6222
1991,4,17,2.21157,95.018858112963,12.2169
1991,4,18,0.0957212,94.7706821460648,11.3654
1991,4,19,0,95.5707146974537,12.5926
1991,4,20,0,91.2719751988426,11.1034
1991,4,21,0.0405588,84.3862085902778,10.3668
1991,4,22,0,77.4640768657407,11.5148
1991,4,23,0,72.2249482277778,12.7537
1991,4,24,0.0615748,68.7396389548611,11.8063
1991,4,25,0.0151392,65.1599079773148,9.91279
1991,4,26,0,61.607291340625,9.62264
1991,4,27,0.00610231,58.8182145424537,10.1686
1991,4,28,0,55.4080598425463,13.8048
1991,4,29,0,49.8544048506481,15.5256
1991,4,30,0,44.9563427214352,17.9487
1991,5,1,0.0276227,42.0912819704167,14.1613
1991,5,2,0.005063,39.5623752475694,9.74555
1991,5,3,0,37.77569968125,9.90223
